Date, TemperatureHigh, TemperatureLow, DewPoint, Humidity, Pressure, PrecipitationIntensity, PrecipitationType, NextDayPrecipitationType
2018-05-27, 56.58, 48.84, 50.08, 0.81, 1021.87, 0.0046, rain, rain
2018-05-26, 86.44, 54.25, 57.96, 0.56, 1008.78, 0.0005, rain, rain
2018-05-25, 87.22, 64.94, 48.86, 0.49, 1011.58, 0, none, rain
2018-05-24, 75.41, 54.52, 45.13, 0.58, 1018.27, 0, none, none
2018-05-23, 82.54, 50.88, 51.85, 0.62, 1012.36, 0.0009, rain, none
2018-05-22, 65.68, 54.83, 52.12, 0.79, 1019.96, 0.0017, rain, rain
2018-05-21, 78.34, 50.58, 44.32, 0.54, 1020, 0, none, rain
2018-05-20, 76.38, 48.84, 59.24, 0.82, 1013.53, 0.0012, rain, none
2018-05-19, 59.91, 50.63, 43.35, 0.82, 1027.56, 0.0093, rain, rain
2018-05-18, 63.37, 39.05, 39.97, 0.53, 1027.69, 0, none, rain
2018-05-17, 78.32, 55.74, 54.31, 0.75, 1016.61, 0, none, none
2018-05-16, 63.21, 51.77, 48.21, 0.76, 1020.51, 0.0003, rain, none
2018-05-15, 84.86, 50.17, 59.17, 0.8, 1010.45, 0.0182, rain, rain
2018-05-14, 76.37, 56.95, 50.85, 0.73, 1014.8, 0, none, rain
2018-05-13, 63.33, 46.5, 44, 0.8, 1021.58, 0.0001, rain, none
2018-05-12, 51.75, 42.06, 38.07, 0.72, 1022.25, 0.0023, rain, rain
2018-05-11, 67.93, 42.21, 37.96, 0.48, 1014.01, 0, none, rain
2018-05-10, 72.54, 56.06, 49.87, 0.73, 1013.56, 0, none, none
2018-05-09, 76.28, 48.86, 45.09, 0.6, 1021.69, 0, none, none
2018-05-08, 73.81, 45.12, 45.46, 0.67, 1024.07, 0, none, none
2018-05-07, 67.77, 42.74, 47.78, 0.72, 1018.12, 0.002, rain, none
2018-05-06, 61.84, 49.46, 51.42, 0.78, 1016.32, 0.0103, rain, rain
2018-05-05, 74.44, 58.48, 43.03, 0.45, 1013.89, 0.0002, rain, rain
2018-05-04, 81.55, 55.24, 62.95, 0.72, 1009.91, 0.0003, rain, rain
2018-05-03, 86.83, 64.41, 56.62, 0.57, 1012.67, 0.0029, rain, rain
2018-05-02, 89.48, 65.36, 43.29, 0.4, 1013.71, 0, none, rain
2018-05-01, 67.08, 50.06, 42.79, 0.71, 1016.26, 0.0002, rain, none
2018-04-30, 49.47, 38.43, 38.23, 0.82, 1013.24, 0.0023, rain, rain
2018-04-29, 55.14, 36.74, 45.09, 0.84, 1010.98, 0.0069, rain, rain
2018-04-28, 71.21, 49.64, 47.29, 0.73, 1009.27, 0.0006, rain, rain
2018-04-27, 61.05, 47.82, 44.63, 0.82, 1011.23, 0.0113, rain, rain
2018-04-26, 65.48, 42.36, 48.12, 0.78, 1004.54, 0.0074, rain, rain
2018-04-25, 55.37, 51.97, 46.48, 0.83, 1016.37, 0.0252, rain, rain
2018-04-24, 71.26, 47.92, 29.82, 0.41, 1027.47, 0, none, rain
2018-04-23, 65.9, 36.23, 22.96, 0.42, 1031.36, 0, none, none
2018-04-22, 61.03, 29.75, 21.93, 0.43, 1027.84, 0, none, none
2018-04-21, 58.27, 30.13, 25.53, 0.48, 1025.23, 0, none, none
2018-04-20, 50.58, 32.73, 28.71, 0.61, 1017.63, 0.0001, rain, none
2018-04-19, 43.79, 34.45, 32.87, 0.76, 1007.41, 0.0043, rain, rain
2018-04-18, 51.15, 37.25, 28.21, 0.57, 1004.86, 0, none, rain
